Sample,cfOncoPath,epicseq_by10,epicseq_by1,TFx
DTB-097-Progression,0.482075,0.45726,0.343626507,0.4414
DTB-102-Progression,0.501539,0.543155,0.492599799,0.3729
DTB-119-Progression,0.562816,0.51648,0.485492171,0.5726
DTB-149-Baseline,0.573906,0.498443,0.440272049,0.6324
DTB-156-Baseline,0.593569,0.502475,0.3938061,0.4415
DTB-183-Baseline,0.540211,0.486483,0.496559341,0.2895
DTB-205-Baseline,0.465459,0.431978,0.427891164,0.2617
DTB-210-Baseline,0.551699,0.508929,0.332226687,0.5586
DTB-214-Baseline,0.60424,0.526723,0.552805067,0.8343
DTB-216-Progression,0.551308,0.51377,0.509201146,0.3012
DTB-258-Baseline,0.588078,0.53776,0.550504156,0.112
DTB-261-Baseline,0.598034,0.537342,0.522062886,0.4119
DTB-266-Baseline,0.615488,0.538452,0.590632431,0.116
